名称,网址,时间,浏览量,售出,交易成功
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:32,340481,1114,729
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:32,340483,1114,729
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:32,340484,1114,729
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:32,340486,1114,729
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:34,340491,1112,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:36,340495,1114,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:38,340498,1114,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:39,340499,1114,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:42,340503,1114,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:43,340505,1115,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:45,340507,1115,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:46,340508,1115,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:48,340512,1115,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:49,340514,1115,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:51,340521,1115,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:53,340525,1115,728
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:55,340527,1115,728
