名称,网址,时间,播放数,评论数,顶,踩
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:32,789659,17109,6,788,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:34,789911,17118,6,789,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:36,790166,17119,6,790,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:38,790459,17121,6,791,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:39,790585,17123,6,791,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:42,790839,17124,6,791,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:43,790968,17125,6,792,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:45,791199,17131,6,792,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:46,791324,17131,6,792,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:48,791577,17132,6,793,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:49,791694,17134,6,794,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:51,791950,17145,6,796,137
,http://v.youku.com/v_show/id_XNjcwOTI3MTY0.html,2014-02-12 13:53,792056,17148,6,796,137
,http://v.youku.com/v_show/id_XNjY4OTM0NzI4.html,2014-02-12 13:32,1164665,25517,8,842,205
,http://v.youku.com/v_show/id_XNjY4OTM0NzI4.html,2014-02-12 13:34,1164712,25518,8,842,205
,http://v.youku.com/v_show/id_XNjY4OTM0NzI4.html,2014-02-12 13:36,1164764,25520,8,842,205
,http://v.youku.com/v_show/id_XNjY4OTM0NzI4.html,2014-02-12 13:38,1164821,25520,8,842,205
,http://v.youku.com/v_show/id_XNjY4OTM0NzI4.html,2014-02-12 13:39,1164852,25520,8,842,205
